driver_name,driver_id,category,issue,action,priority,potential_gain,estimated_new_lap,current_best_lap,avg_speed,avg_throttle,avg_brake,avg_rpm
Car #2,2,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.745s,102.1450795909289,126.12503250208592,63.154013641833274,5.853719301004919,6000
Car #55,55,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,102.131s,102.38055419921876,126.31421602487636,64.70038463011977,5.503796150523771,6000
Car #55,55,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.981s,102.38055419921876,126.31421602487636,64.70038463011977,5.503796150523771,6000
Car #93,93,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,102.225s,102.47453339240336,127.61592622804568,65.37948504582387,6.756606160325255,6000
Car #93,93,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,102.075s,102.47453339240336,127.61592622804568,65.37948504582387,6.756606160325255,6000
Car #5,5,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,102.300s,102.5496063232422,129.35037922676517,67.14391761262999,6.608926018805182,6000
Car #5,5,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,102.150s,102.5496063232422,129.35037922676517,67.14391761262999,6.608926018805182,6000
Car #3,3,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,102.902s,103.15188999999984,129.77351080702445,69.14120177920579,6.654937120548126,6000
Car #3,3,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,102.752s,103.15188999999984,129.77351080702445,69.14120177920579,6.654937120548126,6000
Car #18,18,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,103.097s,103.3470458984375,128.1523612776295,64.85632147063994,5.327756041845059,6000
Car #18,18,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,102.947s,103.3470458984375,128.1523612776295,64.85632147063994,5.327756041845059,6000
Car #8,8,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,104.036s,104.2857894897461,126.84138958650237,66.93423336082145,5.489764693428292,6000
Car #8,8,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,103.886s,104.2857894897461,126.84138958650237,66.93423336082145,5.489764693428292,6000
Car #57,57,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,106.032s,106.28171428156756,121.87246620507005,58.801689360100205,4.392700756796636,6000
Car #57,57,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,105.882s,106.28171428156756,121.87246620507005,58.801689360100205,4.392700756796636,6000
Car #0,0,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,153.281s,153.53120877408588,126.7961487557214,64.50698944497347,6.6714603962128045,6000
Car #0,0,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,153.131s,153.53120877408588,126.7961487557214,64.50698944497347,6.6714603962128045,6000
Car #80,80,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,154.339s,154.5892995431194,124.8298934261206,62.16930706994602,6.210961214179989,6000
Car #80,80,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,154.189s,154.5892995431194,124.8298934261206,62.16930706994602,6.210961214179989,6000
